,eventID,EarthquakeMagnitude,EarthquakeTime,EarthquakeLatitude,EarthquakeLongitude,EarthquakeDepth,max_epicentral,max_hypocentral,max_rupture
nn00272995,nn00272995,2.8,2008-04-28T12:12:31.354000Z,39.5275,-119.9384,0.1,305.99,305.51,305.84
nn00870301,nn00870301,3.4,2023-12-19T09:31:41.043000Z,39.6184,-119.6312,7.0,305.25,305.02,305.07
nn00849284,nn00849284,2.8,2022-10-14T21:38:56.637000Z,39.353,-119.9641,7.3,304.78,304.81,304.73
nc72372641,nc72372641,2.7,2014-12-30T10:59:56.030000Z,39.365,-120.01883,-1.7,291.55,291.53,291.82
nn00248665,nn00248665,2.7,2008-06-07T13:43:03.775000Z,39.5469,-119.9208,1.1,304.78,304.92,304.66
nn00322758,nn00322758,2.9,2010-12-18T17:46:08.869000Z,39.6344,-119.992,6.7,301.59,301.53,301.51
nn00651540,nn00651540,2.5,2018-08-19T00:57:16.354000Z,39.2335,-120.0966,7.9,303.04,303.28,303.04
nn00888588,nn00888588,3.1,2024-12-09T23:27:46.153000Z,39.1715,-119.0175,10.9,305.29,305.07,305.3
nn00889465,nn00889465,2.7,2024-12-13T08:36:04.562000Z,39.1502,-119.0684,7.7,305.23,305.13,305.21
nc21105736,nc21105736,2.8,2000-06-24T19:53:29.310000Z,39.67117,-120.29217,8.5,284.14,284.59,284.13
nn00888749,nn00888749,2.5,2024-12-10T02:50:56.073000Z,39.1737,-119.0503,6.5,305.05,305.31,305.02
nn00256508,nn00256508,2.7,2008-08-05T21:59:39.296000Z,39.5611,-119.9573,6.6,306.46,305.89,306.41
nn00888575,nn00888575,2.6,2024-12-09T23:18:12.804000Z,39.1738,-119.0319,5.8,304.19,304.05,304.13
nn00888581,nn00888581,3.1,2024-12-09T23:22:27.165000Z,39.1577,-119.042,13.0,305.46,305.23,305.55
nc71475591,nc71475591,3.1,2010-10-18T03:44:42.740000Z,39.35,-120.033,4.05,299.78,300.01,299.62
nn00130120,nn00130120,3.0,2005-03-04T05:33:45.430000Z,39.6508,-119.3244,12.0,305.53,305.56,305.6
nn00617945,nn00617945,2.6,2018-01-12T10:06:39.189000Z,39.3833,-119.7525,7.2,304.6,304.2,304.58
nn00242187,nn00242187,3.0,2008-04-24T23:51:48.593000Z,39.5165,-119.9256,3.6,305.57,305.47,305.42
nn00540403,nn00540403,2.5,2008-04-25T17:23:11.779000Z,39.5275,-119.9279,0.8,305.47,305.59,305.37
nc73296890,nc73296890,3.1,2019-10-25T13:54:29.250000Z,39.248,-120.102,3.04,303.41,302.72,303.24
nn00238353,nn00238353,2.6,2008-03-15T15:38:35.890000Z,39.5256,-119.9371,0.9,305.94,305.28,305.83
nc73723705,nc73723705,2.7,2022-04-26T13:51:05.160000Z,39.32633,-120.142,6.89,304.53,304.85,304.48
nc73308186,nc73308186,2.5,2019-11-24T10:23:36.460000Z,39.142,-120.01733,3.18,298.41,298.87,298.32
nc71691016,nc71691016,2.7,2011-12-04T06:02:46.280000Z,39.72733,-120.33817,7.68,302.86,303.05,302.83
